mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
1.53,"4 km NE of Quinton, Oklahoma",1621663549090,1621874755997,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2021jybz,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2021jybz&format=geojson,,,,,reviewed,0,36,ok,2021jybz,",ok2021jybz,",",ok,",",origin,phase-data,",39.0,0.1178768685,0.22,140.0,ml,earthquake,"M 1.5 - 4 km NE of Quinton, Oklahoma"
2.8,"72 km SW of Delta Junction, Alaska",1621663327513,1621745461040,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0216ixwblt,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0216ixwblt&format=geojson,,,,,automatic,0,121,ak,0216ixwblt,",us7000e598,ak0216ixwblt,",",us,ak,",",origin,phase-data,",,,0.87,,ml,earthquake,"M 2.8 - 72 km SW of Delta Junction, Alaska"
0.7,"29 km ESE of Tanana, Alaska",1621663296626,1621668488421,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0216ixw6a9,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0216ixw6a9&format=geojson,,,,,reviewed,0,8,ak,0216ixw6a9,",ak0216ixw6a9,",",ak,",",origin,phase-data,",,,0.71,,ml,earthquake,"M 0.7 - 29 km ESE of Tanana, Alaska"
2.0,"12km NW of Parkfield, CA",1621663279520,1621914434577,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73565600,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73565600&format=geojson,,,,,reviewed,0,62,nc,73565600,",nc73565600,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",37.0,0.02644,0.06,59.0,md,earthquake,"M 2.0 - 12km NW of Parkfield, CA"
2.3,"2 km S of Anchorage, Alaska",1621662788790,1621664382973,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0216ixltqv,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0216ixltqv&format=geojson,3.0,3.1,,,automatic,0,82,ak,0216ixltqv,",ak0216ixltqv,us7000e594,",",ak,us,",",dyfi,origin,phase-data,",,,0.72,,ml,earthquake,"M 2.3 - 2 km S of Anchorage, Alaska"
0.8,"27 km SSE of Mina, Nevada",1621662742595,1621664148866,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00807788,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00807788&format=geojson,,,,,automatic,0,10,nn,00807788,",nn00807788,",",nn,",",origin,phase-data,",12.0,0.038,0.1161,135.57,ml,earthquake,"M 0.8 - 27 km SSE of Mina, Nevada"
4.2,"102 km SE of Atka, Alaska",1621662610083,1621668763040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000e59i,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000e59i&format=geojson,,,,,reviewed,0,271,us,7000e59i,",ak0216ixl7ge,us7000e59i,",",ak,us,",",origin,phase-data,",,0.952,1.08,194.0,mb,earthquake,"M 4.2 - 102 km SE of Atka, Alaska"
1.92,"23km S of South Dos Palos, CA",1621662455600,1622193437308,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73565590,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73565590&format=geojson,,,,,reviewed,0,57,nc,73565590,",nc73565590,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",33.0,0.1222,0.18,105.0,md,earthquake,"M 1.9 - 23km S of South Dos Palos, CA"
1.32,"10km E of Yorba Linda, CA",1621661583950,1621869160051,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39899544,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39899544&format=geojson,,,,,reviewed,0,27,ci,39899544,",ci39899544,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",48.0,0.08202,0.17,38.0,ml,earthquake,"M 1.3 - 10km E of Yorba Linda, CA"
1.4,"23 km SSW of Petersville, Alaska",1621660942501,1621661131040,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0216ixf7my,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0216ixf7my&format=geojson,,,,,automatic,0,30,ak,0216ixf7my,",ak0216ixf7my,",",ak,",",origin,",,,0.86,,ml,earthquake,"M 1.4 - 23 km SSW of Petersville, Alaska"
2.1,"27 km N of Snyder, Texas",1621660826344,1621999134025,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2021jyan,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2021jyan&format=geojson,2.0,3.7,,,reviewed,0,69,tx,2021jyan,",tx2021jyan,",",tx,",",dyfi,origin,phase-data,",22.0,0.06306796069,0.2,58.0,ml,earthquake,"M 2.1 - 27 km N of Snyder, Texas"
3.5,western Texas,1621659160605,1621968446381,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2021jxzp,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2021jxzp&format=geojson,200.0,4.8,3.69,,reviewed,0,284,tx,2021jxzp,",us7000e590,tx2021jxzp,",",us,tx,",",dyfi,origin,phase-data,shakemap,",20.0,0.02115441183,0.2,45.0,ml,earthquake,M 3.5 - western Texas
0.19,"100 km NNW of Karluk, Alaska",1621659103940,1621895113600,,https://earthquake.usgs.gov/earthquakes/eventpage/av91027903,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91027903&format=geojson,,,,,reviewed,0,1,av,91027903,",av91027903,",",av,",",origin,phase-data,",8.0,,0.23,108.0,ml,earthquake,"M 0.2 - 100 km NNW of Karluk, Alaska"
0.98,"2km N of Banning, CA",1621659103850,1621889323401,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39899456,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39899456&format=geojson,,,,,reviewed,0,15,ci,39899456,",ci39899456,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",42.0,0.0884,0.12,53.0,ml,earthquake,"M 1.0 - 2km N of Banning, CA"
1.54,"11km W of Calipatria, CA",1621659037770,1621867540889,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39899448,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39899448&format=geojson,,,,,reviewed,0,36,ci,39899448,",ci39899448,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",30.0,0.03577,0.21,46.0,ml,earthquake,"M 1.5 - 11km W of Calipatria, CA"
4.0,Fiji region,1621658294314,1622349868040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000ef6c,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000ef6c&format=geojson,,,,,reviewed,0,246,us,6000ef6c,",us6000ef6c,",",us,",",origin,phase-data,",,3.928,1.07,123.0,mb,earthquake,M 4.0 - Fiji region
1.9,"4 km W of Tremont, Maine",1621658004574,1621873919606,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000e58z,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000e58z&format=geojson,16.0,3.8,,,reviewed,0,62,us,7000e58z,",us7000e58z,",",us,",",dyfi,origin,phase-data,",,0.812,0.27,173.0,ml,earthquake,"M 1.9 - 4 km W of Tremont, Maine"
0.6,"62 km WNW of Beluga, Alaska",1621657977930,1621872171130,,https://earthquake.usgs.gov/earthquakes/eventpage/av91248796,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91248796&format=geojson,,,,,reviewed,0,6,av,91248796,",av91248796,",",av,",",origin,phase-data,",7.0,,0.18,289.0,ml,earthquake,"M 0.6 - 62 km WNW of Beluga, Alaska"
2.0,"28 km N of Snyder, Texas",1621657613704,1622001115375,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2021jxyt,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2021jxyt&format=geojson,,,,,reviewed,0,62,tx,2021jxyt,",tx2021jxyt,",",tx,",",origin,phase-data,",19.0,0.06801085297,0.2,61.0,ml,earthquake,"M 2.0 - 28 km N of Snyder, Texas"
0.89,"7km NW of The Geysers, CA",1621657487380,1621667231979,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73565585,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73565585&format=geojson,,,,,automatic,0,12,nc,73565585,",nc73565585,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",22.0,0.001155,0.02,38.0,md,earthquake,"M 0.9 - 7km NW of The Geysers, CA"
1.90999997,"5 km SSE of Pāhala, Hawaii",1621657289540,1621657475360,,https://earthquake.usgs.gov/earthquakes/eventpage/hv72479957,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72479957&format=geojson,,,,,automatic,0,56,hv,72479957,",hv72479957,",",hv,",",origin,phase-data,",35.0,,0.129999995,167.0,md,earthquake,"M 1.9 - 5 km SSE of Pāhala, Hawaii"
0.6,"29 km SE of Mina, Nevada",1621657197594,1621662806965,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00807786,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00807786&format=geojson,,,,,automatic,0,6,nn,00807786,",nn00807786,",",nn,",",origin,phase-data,",10.0,0.033,0.0677,106.43,ml,earthquake,"M 0.6 - 29 km SE of Mina, Nevada"
4.2,"12 km E of Jiquilillo, Nicaragua",1621656824566,1621657751040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000e58t,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000e58t&format=geojson,,,,,reviewed,0,271,us,7000e58t,",us7000e58t,",",us,",",origin,phase-data,",,0.309,0.85,158.0,mb,earthquake,"M 4.2 - 12 km E of Jiquilillo, Nicaragua"
0.76,"12km WNW of The Geysers, CA",1621656675910,1621665673432,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73565580,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73565580&format=geojson,,,,,automatic,0,9,nc,73565580,",nc73565580,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",18.0,0.005483,0.02,85.0,md,earthquake,"M 0.8 - 12km WNW of The Geysers, CA"
4.9,"265 km SSE of Alo, Wallis and Futuna",1621656588794,1622346161040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000ef69,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000ef69&format=geojson,,,,,reviewed,0,369,us,6000ef69,",us6000ef69,",",us,",",origin,phase-data,",,2.389,1.05,116.0,mb,earthquake,"M 4.9 - 265 km SSE of Alo, Wallis and Futuna"
2.5,"65 km SE of Denali National Park, Alaska",1621656575297,1621657363040,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0216iwr0n9,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0216iwr0n9&format=geojson,,,,,automatic,0,96,ak,0216iwr0n9,",us7000e58s,ak0216iwr0n9,",",us,ak,",",origin,phase-data,",,,0.67,,ml,earthquake,"M 2.5 - 65 km SE of Denali National Park, Alaska"
1.4,"5 km E of Hope, Alaska",1621656516393,1621656702587,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0216iwqt2v,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0216iwqt2v&format=geojson,,,,,automatic,0,30,ak,0216iwqt2v,",ak0216iwqt2v,",",ak,",",origin,",,,0.5,,ml,earthquake,"M 1.4 - 5 km E of Hope, Alaska"
4.2,"258 km WSW of Xining, China",1621656217946,1621724524040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000e58r,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000e58r&format=geojson,,,,,reviewed,0,271,us,7000e58r,",us7000e58r,",",us,",",origin,phase-data,",,9.015,0.68,95.0,mb,earthquake,"M 4.2 - 258 km WSW of Xining, China"
1.27,"4 km NNE of Ames, Oklahoma",1621655772970,1621886286650,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2021jxxs,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2021jxxs&format=geojson,,,,,reviewed,0,25,ok,2021jxxs,",ok2021jxxs,",",ok,",",origin,phase-data,",30.0,0.05758869913,0.18,82.0,ml,earthquake,"M 1.3 - 4 km NNE of Ames, Oklahoma"
1.24,"1km W of Loma Linda, CA",1621655733780,1621888153073,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39899440,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39899440&format=geojson,,,,,reviewed,0,24,ci,39899440,",ci39899440,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",58.0,0.05891,0.13,63.0,ml,earthquake,"M 1.2 - 1km W of Loma Linda, CA"
-0.06,"10km WNW of The Geysers, CA",1621655234080,1621901193288,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73565575,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73565575&format=geojson,,,,,reviewed,0,0,nc,73565575,",nc73565575,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",17.0,0.004856,0.02,65.0,md,earthquake,"M -0.1 - 10km WNW of The Geysers, CA"
4.7,"265 km SW of Linxia Chengguanzhen, China",1621654247596,1621671121202,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000e58n,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000e58n&format=geojson,1.0,1.0,,,reviewed,0,340,us,7000e58n,",us7000e58n,",",us,",",dyfi,origin,phase-data,",,11.614,1.14,73.0,mb,earthquake,"M 4.7 - 265 km SW of Linxia Chengguanzhen, China"
5.2,"Southern Qinghai, China",1621653678439,1621654622040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000e58k,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000e58k&format=geojson,,,,,reviewed,0,416,us,7000e58k,",us7000e58k,",",us,",",origin,phase-data,",,10.602,0.77,36.0,mb,earthquake,"M 5.2 - Southern Qinghai, China"
1.73,"20km ESE of Yosemite Valley, CA",1621653426040,1621668914141,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73565565,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73565565&format=geojson,,,,,reviewed,0,46,nc,73565565,",nc73565565,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",21.0,0.2405,0.19,81.0,md,earthquake,"M 1.7 - 20km ESE of Yosemite Valley, CA"
0.18,"2km SSW of Anderson Springs, CA",1621653383690,1621903153992,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73565550,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73565550&format=geojson,,,,,reviewed,0,0,nc,73565550,",nc73565550,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",20.0,0.01073,0.05,110.0,md,earthquake,"M 0.2 - 2km SSW of Anderson Springs, CA"
4.5,"Southern Qinghai, China",1621653373062,1622344951040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000ef67,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000ef67&format=geojson,,,,,reviewed,0,312,us,6000ef67,",us6000ef67,",",us,",",origin,phase-data,",,4.928,1.1,93.0,mb,earthquake,"M 4.5 - Southern Qinghai, China"
1.4,"15 km WNW of Stanley, Idaho",1621653348320,1621694066490,,https://earthquake.usgs.gov/earthquakes/eventpage/mb80503699,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb80503699&format=geojson,,,,,reviewed,0,30,mb,80503699,",mb80503699,",",mb,",",origin,phase-data,",7.0,0.294,0.22,125.0,ml,earthquake,"M 1.4 - 15 km WNW of Stanley, Idaho"
0.95,"6km NNW of The Geysers, CA",1621653167050,1621654153687,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73565545,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73565545&format=geojson,,,,,automatic,0,14,nc,73565545,",nc73565545,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",16.0,0.009893,0.03,41.0,md,earthquake,"M 1.0 - 6km NNW of The Geysers, CA"
2.73,"2 km ENE of Magas Arriba, Puerto Rico",1621652872810,1621659867292,,https://earthquake.usgs.gov/earthquakes/eventpage/pr2021142003,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2021142003&format=geojson,,,,,reviewed,0,115,pr,2021142003,",pr2021142003,",",pr,",",origin,phase-data,",16.0,0.1433,0.13,117.0,md,earthquake,"M 2.7 - 2 km ENE of Magas Arriba, Puerto Rico"
4.2,"80 km WNW of Bojnūrd, Iran",1621652851337,1621655169040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000e58g,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000e58g&format=geojson,,,,,reviewed,0,271,us,7000e58g,",us7000e58g,",",us,",",origin,phase-data,",,5.757,0.53,150.0,mb,earthquake,"M 4.2 - 80 km WNW of Bojnūrd, Iran"
0.9,"18km SE of Anza, CA",1621652147310,1621887280893,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39899408,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39899408&format=geojson,,,,,reviewed,0,12,ci,39899408,",ci39899408,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",38.0,0.093,0.17,55.0,ml,earthquake,"M 0.9 - 18km SE of Anza, CA"
2.16,"4 km SE of Pāhala, Hawaii",1621651944420,1621652280610,,https://earthquake.usgs.gov/earthquakes/eventpage/hv72479822,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72479822&format=geojson,,,,,automatic,0,72,hv,72479822,",hv72479822,",",hv,",",origin,phase-data,",50.0,,0.180000007,135.0,ml,earthquake,"M 2.2 - 4 km SE of Pāhala, Hawaii"
4.2,"85 km NNW of Ternate, Indonesia",1621651764663,1622343150040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000ef6j,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000ef6j&format=geojson,,,,,reviewed,0,271,us,6000ef6j,",us6000ef6j,",",us,",",origin,phase-data,",,0.779,0.29,194.0,mb,earthquake,"M 4.2 - 85 km NNW of Ternate, Indonesia"
0.59,"16km ESE of Little Lake, CA",1621651682720,1621886644915,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39899400,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39899400&format=geojson,,,,,reviewed,0,5,ci,39899400,",ci39899400,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",19.0,0.07939,0.06,52.0,ml,earthquake,"M 0.6 - 16km ESE of Little Lake, CA"
1.68,"4 km NE of Quinton, Oklahoma",1621651551880,1621870952621,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2021jxvk,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2021jxvk&format=geojson,,,,,reviewed,0,43,ok,2021jxvk,",ok2021jxvk,",",ok,",",origin,phase-data,",41.0,0.1160772217,0.26,140.0,ml,earthquake,"M 1.7 - 4 km NE of Quinton, Oklahoma"
1.55,"5km NW of The Geysers, CA",1621651158840,1621901474838,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73565540,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73565540&format=geojson,,,,,reviewed,0,37,nc,73565540,",nc73565540,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",47.0,0.007325,0.08,44.0,md,earthquake,"M 1.6 - 5km NW of The Geysers, CA"
5.1,"Southern Qinghai, China",1621651125791,1621671724200,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000e587,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000e587&format=geojson,1.0,1.0,,,reviewed,0,400,us,7000e587,",us7000e587,",",us,",",dyfi,origin,phase-data,",,10.835,0.94,55.0,mb,earthquake,"M 5.1 - Southern Qinghai, China"
0.21,"3km W of Cobb, CA",1621650627590,1621660152925,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73565535,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73565535&format=geojson,,,,,reviewed,0,1,nc,73565535,",nc73565535,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",18.0,0.01074,0.03,90.0,md,earthquake,"M 0.2 - 3km W of Cobb, CA"
5.1,"Southern Qinghai, China",1621650577042,1621651518040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000e584,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000e584&format=geojson,,,,,reviewed,0,400,us,7000e584,",us7000e584,",",us,",",origin,phase-data,",,10.511,0.94,48.0,mb,earthquake,"M 5.1 - Southern Qinghai, China"
1.43,"14 km SSE of Sunnyside, Utah",1621650371180,1621868982070,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60437362,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60437362&format=geojson,,,,,reviewed,0,31,uu,60437362,",uu60437362,",",uu,",",origin,phase-data,",5.0,0.001724,0.0,102.0,md,earthquake,"M 1.4 - 14 km SSE of Sunnyside, Utah"
4.6,"145 km SE of Lata, Solomon Islands",1621650362630,1621654730040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000e58a,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000e58a&format=geojson,,,,,reviewed,0,326,us,7000e58a,",us7000e58a,",",us,",",origin,phase-data,",,3.789,0.93,116.0,mb,earthquake,"M 4.6 - 145 km SE of Lata, Solomon Islands"
0.97,"6 km SW of Marysville, Montana",1621650131960,1621693212270,,https://earthquake.usgs.gov/earthquakes/eventpage/mb80503649,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb80503649&format=geojson,,,,,reviewed,0,14,mb,80503649,",mb80503649,",",mb,",",origin,phase-data,",15.0,0.045,0.13,84.0,ml,earthquake,"M 1.0 - 6 km SW of Marysville, Montana"
2.74,"2 km ENE of Magas Arriba, Puerto Rico",1621649672360,1621652905372,,https://earthquake.usgs.gov/earthquakes/eventpage/pr2021142002,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2021142002&format=geojson,,,,,reviewed,0,116,pr,2021142002,",pr2021142002,",",pr,",",origin,phase-data,",22.0,0.1415,0.11,120.0,md,earthquake,"M 2.7 - 2 km ENE of Magas Arriba, Puerto Rico"
1.13,"8km NW of The Geysers, CA",1621649077360,1621660813963,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73565530,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73565530&format=geojson,,,,,automatic,0,20,nc,73565530,",nc73565530,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",25.0,0.009761,0.02,46.0,md,earthquake,"M 1.1 - 8km NW of The Geysers, CA"
1.4,"28 km SSE of Mina, Nevada",1621649075985,1621650627366,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00807782,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00807782&format=geojson,,,,,automatic,0,30,nn,00807782,",nn00807782,",",nn,",",origin,phase-data,",17.0,0.022,0.1397,120.0,ml,earthquake,"M 1.4 - 28 km SSE of Mina, Nevada"
4.2,Fiji region,1621649059658,1622342332040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000ef66,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000ef66&format=geojson,,,,,reviewed,0,271,us,6000ef66,",us6000ef66,",",us,",",origin,phase-data,",,4.5,0.91,122.0,mb,earthquake,M 4.2 - Fiji region
4.6,"69 km NNW of Neiafu, Tonga",1621648704297,1621653024040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000e583,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000e583&format=geojson,,,,,reviewed,0,326,us,7000e583,",us7000e583,",",us,",",origin,phase-data,",,4.845,1.16,154.0,mb,earthquake,"M 4.6 - 69 km NNW of Neiafu, Tonga"
0.84,"7km NW of The Geysers, CA",1621648426060,1621650432334,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73565520,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73565520&format=geojson,,,,,automatic,0,11,nc,73565520,",nc73565520,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",7.0,0.0007554,0.02,142.0,md,earthquake,"M 0.8 - 7km NW of The Geysers, CA"
1.33,"36km NNW of Searles Valley, CA",1621648328600,1621865255237,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39899376,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39899376&format=geojson,,,,,reviewed,0,27,ci,39899376,",ci39899376,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",18.0,0.03342,0.14,140.0,ml,earthquake,"M 1.3 - 36km NNW of Searles Valley, CA"
4.4,"32 km WNW of Dali, China",1621648084380,1621652222040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000e580,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000e580&format=geojson,,,,,reviewed,0,298,us,7000e580,",us7000e580,",",us,",",origin,phase-data,",,4.373,0.76,171.0,mb,earthquake,"M 4.4 - 32 km WNW of Dali, China"
1.86,"36km NNW of Searles Valley, CA",1621648003760,1621882830360,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39899368,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39899368&format=geojson,,,,,reviewed,0,53,ci,39899368,",ci39899368,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",32.0,0.02927,0.16,46.0,ml,earthquake,"M 1.9 - 36km NNW of Searles Valley, CA"
3.5,"54 km S of Whites City, New Mexico",1621647627960,1621870008825,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2021jxtg,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2021jxtg&format=geojson,1.0,2.0,4.074,,reviewed,0,189,tx,2021jxtg,",us7000e57y,tx2021jxtg,",",us,tx,",",dyfi,origin,phase-data,shakemap,",29.0,0.08676195186,0.3,50.0,ml,earthquake,"M 3.5 - 54 km S of Whites City, New Mexico"
1.9,"8km WNW of Cobb, CA",1621647310320,1622079255138,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73565505,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73565505&format=geojson,,,,,reviewed,0,56,nc,73565505,",nc73565505,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",4.0,0.01324,0.02,114.0,mh,earthquake,"M 1.9 - 8km WNW of Cobb, CA"
1.47,"5 km NNW of Ames, Oklahoma",1621647279299,1621885843092,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2021jxtb,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2021jxtb&format=geojson,,,,,reviewed,0,33,ok,2021jxtb,",ok2021jxtb,",",ok,",",origin,phase-data,",51.0,0.04409134777,0.23,81.0,ml,earthquake,"M 1.5 - 5 km NNW of Ames, Oklahoma"
0.91,"5km WNW of Cobb, CA",1621647248100,1621655954844,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73565500,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73565500&format=geojson,,,,,automatic,0,13,nc,73565500,",nc73565500,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",11.0,0.005537,0.01,117.0,md,earthquake,"M 0.9 - 5km WNW of Cobb, CA"
-0.09,"85 km NNW of Karluk, Alaska",1621647025350,1621884040090,,https://earthquake.usgs.gov/earthquakes/eventpage/av91027878,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91027878&format=geojson,,,,,reviewed,0,0,av,91027878,",av91027878,",",av,",",origin,phase-data,",8.0,,0.21,136.0,ml,earthquake,"M -0.1 - 85 km NNW of Karluk, Alaska"
1.94,"1 km ENE of Pāhala, Hawaii",1621646843190,1621647174920,,https://earthquake.usgs.gov/earthquakes/eventpage/hv72479697,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72479697&format=geojson,,,,,automatic,0,58,hv,72479697,",hv72479697,",",hv,",",origin,phase-data,",47.0,,0.109999999,139.0,ml,earthquake,"M 1.9 - 1 km ENE of Pāhala, Hawaii"
